CustomerID,Gender,AgeGroup,CategoryVisited,NumPagesViewed,DeviceUsed,ReferralSource,CartValue,PreferredPaymentMethod,DiscountApplied,DiscountAmount,PurchaseMade,Segment,YearsOfMembership,LoyaltyPoints,LoyaltyTier,State
AC-03242,Female,35-44,Technology,4,Tablet,Search Engine,186.1072,Credit Card,Yes,0.1,No,Corporate,7,3108,Platinum,New York
AC-05337,Male,45-54,Home Supplies,7,Laptop,Direct,913.468,Bank Transfer,Yes,0.3,No,Consumer,3,477,Gold,Florida
AC-06992,Female,55-64,Technology,14,Laptop,Social Media,1661.56,Debit Card,Yes,0.8,No,Home Office,8,2077,Bronze,Florida
AC-07925,Male,55-64,Furniture,6,Laptop,Email,2471.3576,Bank Transfer,No,0,No,Corporate,6,4309,Silver,New York
AC-09262,Male,18-24,Furniture,10,Mobile,Direct,753.39,PayPal,Yes,0.3,No,Home Office,9,1200,Silver,Florida
AC-10742,Male,18-24,Furniture,13,Laptop,Direct,1974.112,Debit Card,No,0,No,Home Office,7,1568,Silver,Ohio
AC-17541,Male,65+,Home Supplies,9,Desktop,Search Engine,1721.914,PayPal,Yes,0.1,No,Corporate,8,3307,Gold,Alabama
AC-22591,Male,25-34,Home Supplies,17,Tablet,Search Engine,305.6376,PayPal,Yes,0.3,No,Home Office,8,1072,Bronze,New York
AC-23391,Male,25-34,Furniture,2,Desktop,Search Engine,1329.4048,Debit Card,Yes,0.5,No,Corporate,6,3373,Silver,Alabama
AC-32357,Male,45-54,Home Supplies,16,Desktop,Direct,2627.07,PayPal,Yes,0.3,No,Corporate,6,3444,Gold,Alabama
AC-33717,Female,35-44,Furniture,12,Tablet,Email,373.0464,Debit Card,Yes,0.1,No,Consumer,10,1118,Platinum,Texas
AC-34729,Female,45-54,Technology,6,Tablet,Social Media,931.3632,PayPal,No,0,No,Consumer,1,1675,Silver,California
AC-38745,Male,65+,Home Supplies,13,Mobile,Email,513.1024,Debit Card,Yes,0.2,Yes,Home Office,4,2385,Bronze,California
AC-41163,Female,25-34,Furniture,8,Laptop,Social Media,714.1376,Debit Card,No,0,No,Consumer,10,1519,Silver,California
AC-45851,Male,18-24,Home Supplies,7,Laptop,Search Engine,1202.4391,Credit Card,No,0,No,Consumer,6,1506,Platinum,Ohio
AC-48628,Male,25-34,Home Supplies,5,Laptop,Email,690.8561,PayPal,No,0,No,Consumer,8,1160,Silver,Florida
AC-53855,Female,45-54,Furniture,1,Tablet,Social Media,107.4943,Credit Card,No,0,No,Consumer,10,1394,Gold,Ohio
AC-58232,Female,25-34,Furniture,19,Desktop,Search Engine,1567.568,Credit Card,No,0,Yes,Home Office,6,2390,Gold,Ohio
AC-61068,Male,18-24,Technology,14,Mobile,Search Engine,540.1816,Credit Card,No,0,No,Corporate,1,4053,Gold,Texas
AC-61836,Female,35-44,Furniture,2,Desktop,Email,1049.3131,PayPal,Yes,0.8,Yes,Home Office,7,2699,Platinum,New York
AC-62029,Female,45-54,Furniture,10,Tablet,Social Media,194.848,PayPal,No,0,No,Consumer,9,1446,Gold,Florida
AC-62242,Male,25-34,Home Supplies,11,Desktop,Direct,924.1096,PayPal,Yes,0.2,Yes,Home Office,3,1336,Bronze,Florida
AC-66733,Female,35-44,Furniture,1,Desktop,Direct,1283.171,Bank Transfer,Yes,0.2,Yes,Home Office,4,1416,Gold,Texas
AC-66765,Female,25-34,Technology,1,Desktop,Email,1187.2136,Debit Card,Yes,0.1,No,Corporate,10,4615,Bronze,New York
AC-70658,Male,18-24,Furniture,13,Laptop,Email,1543.9318,Credit Card,Yes,0.1,No,Consumer,2,787,Gold,Alabama
AC-71026,Male,18-24,Furniture,12,Tablet,Search Engine,344.508,Debit Card,Yes,0.1,Yes,Home Office,3,2916,Platinum,California
AC-71713,Male,25-34,Home Supplies,17,Desktop,Social Media,1418.656,Debit Card,Yes,0.2,Yes,Home Office,7,1534,Gold,Ohio
AC-72641,Male,25-34,Home Supplies,3,Desktop,Direct,1098.5328,Credit Card,No,0,No,Home Office,10,2089,Gold,New York
AC-75422,Male,65+,Technology,3,Desktop,Email,1181.943,Debit Card,Yes,0.8,Yes,Corporate,1,4261,Gold,Alabama
AC-78112,Female,35-44,Home Supplies,8,Tablet,Search Engine,149.55,Credit Card,No,0,No,Consumer,7,437,Gold,Alabama
AC-79783,Male,45-54,Technology,16,Desktop,Direct,800.1499,Debit Card,No,0,No,Home Office,10,1578,Platinum,New York
AC-82104,Male,45-54,Furniture,17,Desktop,Search Engine,1084.717,Bank Transfer,No,0,No,Consumer,1,168,Bronze,California
AC-90912,Female,35-44,Technology,15,Desktop,Social Media,2198.3604,Bank Transfer,Yes,0.1,Yes,Consumer,3,911,Gold,Texas
AD-01818,Male,55-64,Furniture,6,Tablet,Email,509.6277,Credit Card,Yes,0.1,No,Home Office,2,2262,Bronze,Ohio
AD-03815,Male,45-54,Furniture,13,Desktop,Email,1510.054,Credit Card,Yes,0.1,No,Consumer,5,1677,Bronze,Florida
AD-05741,Male,35-44,Technology,14,Tablet,Search Engine,229.9048,Bank Transfer,Yes,0.8,Yes,Consumer,4,1400,Bronze,New York
AD-09549,Male,18-24,Technology,8,Mobile,Direct,527.4552,Debit Card,No,0,No,Home Office,5,2958,Gold,Florida
AD-09937,Female,25-34,Technology,7,Desktop,Email,1081.2325,Credit Card,Yes,0.8,Yes,Consumer,5,1263,Platinum,Texas
AD-10216,Male,18-24,Furniture,13,Tablet,Direct,955.948,PayPal,No,0,No,Home Office,6,2187,Platinum,Texas
AD-11205,Male,55-64,Furniture,14,Laptop,Email,1249.5,Bank Transfer,Yes,0.2,Yes,Home Office,6,2143,Bronze,Alabama
AD-16541,Female,55-64,Home Supplies,2,Desktop,Email,594.8168,Credit Card,Yes,0.7,Yes,Home Office,4,2312,Platinum,California
AD-21970,Male,18-24,Furniture,19,Laptop,Social Media,874.0027,Credit Card,Yes,0.8,Yes,Home Office,10,2878,Bronze,New York
AD-22743,Female,55-64,Furniture,7,Desktop,Social Media,1271.2012,Debit Card,Yes,0.1,Yes,Home Office,4,2800,Silver,New York
AD-26294,Male,25-34,Furniture,8,Mobile,Search Engine,1014.6068,Debit Card,No,0,No,Corporate,4,4228,Silver,Alabama
AD-27011,Female,18-24,Technology,12,Tablet,Email,604.8422,Debit Card,Yes,0.5,Yes,Corporate,7,4284,Silver,California
AD-27564,Male,55-64,Technology,6,Laptop,Email,803.656,PayPal,No,0,No,Corporate,2,4095,Platinum,New York
AD-29069,Male,35-44,Technology,18,Laptop,Direct,1245.879,Debit Card,No,0,No,Corporate,6,3542,Platinum,Texas
AD-32672,Male,65+,Furniture,18,Desktop,Direct,1360.1351,Bank Transfer,Yes,0.2,Yes,Home Office,1,1295,Silver,Alabama
AD-38258,Female,55-64,Furniture,15,Laptop,Social Media,806.35,Credit Card,No,0,Yes,Corporate,6,4998,Bronze,Alabama
AD-40737,Female,25-34,Furniture,14,Desktop,Search Engine,1854.5283,Credit Card,Yes,0.2,Yes,Corporate,5,3809,Platinum,Alabama
AD-42499,Female,35-44,Technology,7,Laptop,Direct,1509.7164,Debit Card,Yes,0.1,No,Consumer,2,1862,Gold,New York
AD-43824,Male,18-24,Home Supplies,18,Tablet,Social Media,812.741,Debit Card,Yes,0.2,Yes,Corporate,7,3687,Gold,Ohio
AD-44559,Male,35-44,Technology,12,Laptop,Email,1169.8752,Debit Card,Yes,0.7,Yes,Home Office,7,1740,Silver,Ohio
AD-46013,Male,18-24,Technology,16,Tablet,Social Media,772.7008,PayPal,No,0,No,Corporate,4,4815,Bronze,Texas
AD-46552,Male,25-34,Technology,7,Laptop,Social Media,1177.2128,PayPal,Yes,0.7,No,Corporate,10,4120,Silver,New York
AD-49265,Female,55-64,Technology,12,Desktop,Social Media,1242.9108,Credit Card,Yes,0.2,Yes,Consumer,3,845,Bronze,New York
AD-51191,Male,45-54,Home Supplies,9,Laptop,Social Media,1607.0024,PayPal,No,0,No,Corporate,9,3373,Bronze,California
AD-53716,Female,18-24,Home Supplies,8,Tablet,Search Engine,133.6384,Debit Card,Yes,0.3,No,Home Office,10,1806,Gold,New York
AD-56503,Female,45-54,Home Supplies,16,Tablet,Search Engine,397.295,Debit Card,Yes,0.7,No,Consumer,1,801,Bronze,Ohio
AD-56713,Female,65+,Furniture,3,Desktop,Social Media,657.1296,Credit Card,Yes,0.7,No,Consumer,5,1780,Gold,Alabama
AD-63835,Male,55-64,Furniture,8,Laptop,Search Engine,1227.6898,Debit Card,No,0,No,Consumer,5,396,Silver,Texas
AD-64673,Male,35-44,Technology,17,Mobile,Social Media,685.284,Bank Transfer,Yes,0.5,No,Consumer,1,1461,Silver,Florida
AD-67604,Female,45-54,Technology,17,Tablet,Direct,895.98,PayPal,Yes,0.5,Yes,Corporate,4,4588,Platinum,Ohio
AD-72406,Female,18-24,Home Supplies,8,Laptop,Direct,1436.8672,Debit Card,Yes,0.8,Yes,Home Office,9,2854,Gold,Alabama
AD-79433,Female,35-44,Home Supplies,6,Laptop,Direct,1330.29,Debit Card,Yes,0.3,No,Corporate,1,3945,Silver,Alabama
AD-81031,Male,25-34,Technology,7,Tablet,Email,327.4408,PayPal,Yes,0.1,No,Corporate,3,4427,Platinum,New York
AD-83709,Male,65+,Furniture,17,Mobile,Social Media,467.8435,Credit Card,Yes,0.8,Yes,Home Office,3,2867,Bronze,Texas
AD-88441,Male,18-24,Furniture,9,Tablet,Social Media,492.4825,Credit Card,Yes,0.3,No,Home Office,9,1488,Gold,Texas
AD-93616,Male,55-64,Furniture,16,Laptop,Email,1714.0176,Debit Card,Yes,0.2,Yes,Consumer,1,1165,Bronze,California
AD-94286,Female,35-44,Technology,7,Laptop,Search Engine,1918.7315,Credit Card,Yes,0.1,No,Consumer,2,1351,Gold,Alabama
AE-08832,Male,45-54,Home Supplies,6,Desktop,Email,1551.722,Bank Transfer,Yes,0.7,No,Home Office,1,2987,Gold,Texas
AE-09185,Female,65+,Home Supplies,16,Laptop,Social Media,868.5112,Bank Transfer,No,0,No,Home Office,5,1284,Gold,Ohio
AE-15426,Female,65+,Home Supplies,13,Desktop,Search Engine,1545.0487,Bank Transfer,No,0,No,Home Office,9,2996,Platinum,Alabama
AE-16054,Female,18-24,Home Supplies,19,Tablet,Search Engine,922.2508,Credit Card,Yes,0.2,Yes,Consumer,6,1714,Bronze,Florida
AE-16554,Female,45-54,Home Supplies,17,Desktop,Email,1726.1227,Bank Transfer,No,0,No,Corporate,6,4183,Platinum,New York
AE-17513,Female,45-54,Home Supplies,1,Mobile,Email,306.724,Bank Transfer,Yes,0.1,No,Corporate,1,3394,Gold,Texas
AE-18283,Female,18-24,Furniture,18,Desktop,Social Media,1361.4012,PayPal,No,0,Yes,Home Office,5,1506,Platinum,Florida
AE-19835,Female,55-64,Furniture,4,Laptop,Social Media,1269.032,Debit Card,Yes,0.1,No,Consumer,2,356,Silver,New York
AE-23913,Female,25-34,Furniture,7,Desktop,Search Engine,1748.3119,Debit Card,Yes,0.5,No,Corporate,6,3504,Silver,Florida
AE-26099,Male,18-24,Technology,13,Laptop,Email,1337.668,Credit Card,Yes,0.1,Yes,Corporate,5,3029,Platinum,California
AE-26525,Female,45-54,Home Supplies,14,Desktop,Social Media,1203.12,Credit Card,Yes,0.2,Yes,Home Office,1,1844,Gold,Ohio
AE-27144,Female,18-24,Furniture,16,Desktop,Email,1256.728,Credit Card,Yes,0.5,Yes,Consumer,7,817,Gold,Texas
AE-28419,Female,25-34,Home Supplies,2,Desktop,Email,1037.7112,Debit Card,Yes,0.5,No,Corporate,7,3147,Platinum,Ohio
AE-28873,Female,18-24,Home Supplies,10,Desktop,Search Engine,1128.0736,Credit Card,No,0,No,Home Office,3,1169,Gold,Ohio
AE-30472,Male,25-34,Home Supplies,6,Tablet,Search Engine,232.6664,Credit Card,No,0,No,Consumer,7,1668,Platinum,Ohio
AE-33278,Female,35-44,Home Supplies,6,Mobile,Social Media,700.7069,Bank Transfer,No,0,No,Consumer,2,337,Platinum,New York
AE-47372,Female,18-24,Technology,3,Desktop,Search Engine,830.4816,PayPal,Yes,0.1,No,Consumer,4,106,Platinum,New York
AE-47473,Male,45-54,Technology,18,Laptop,Email,1705.886,Bank Transfer,Yes,0.1,Yes,Home Office,10,2200,Bronze,Texas
AE-47475,Male,18-24,Furniture,5,Tablet,Social Media,428.3848,PayPal,No,0,No,Corporate,4,3459,Bronze,Florida
AE-48991,Female,45-54,Technology,8,Laptop,Direct,1610.501,Bank Transfer,No,0,No,Consumer,7,207,Bronze,Alabama
AE-50693,Female,45-54,Furniture,9,Laptop,Email,1621.1295,Debit Card,Yes,0.3,No,Consumer,7,1756,Silver,New York
AE-53800,Female,25-34,Technology,19,Desktop,Direct,1481.9968,Credit Card,Yes,0.5,Yes,Consumer,7,1866,Silver,Florida
AE-61784,Male,45-54,Furniture,10,Laptop,Email,857.9528,PayPal,Yes,0.2,Yes,Consumer,5,1175,Gold,Ohio
AE-65699,Male,45-54,Furniture,9,Desktop,Search Engine,1373.544,PayPal,Yes,0.1,No,Corporate,10,3846,Bronze,Alabama
AE-73928,Female,65+,Furniture,2,Mobile,Direct,249.896,PayPal,Yes,0.7,No,Home Office,5,1526,Gold,Ohio
AE-79559,Female,45-54,Technology,15,Desktop,Search Engine,1530.9072,Credit Card,Yes,0.7,Yes,Consumer,8,941,Silver,Ohio
AE-81450,Male,25-34,Furniture,9,Laptop,Direct,1369.0956,Credit Card,Yes,0.7,Yes,Corporate,6,4333,Gold,Texas
AE-82868,Male,55-64,Technology,19,Desktop,Email,1752.7288,Bank Transfer,Yes,0.3,No,Corporate,7,4976,Platinum,Florida
AE-84892,Male,35-44,Furniture,19,Laptop,Email,1796.1364,Bank Transfer,Yes,0.5,Yes,Consumer,2,395,Silver,Florida
AE-87364,Female,45-54,Furniture,7,Desktop,Email,1833.856,Bank Transfer,Yes,0.5,No,Home Office,9,2172,Bronze,California
AE-90239,Female,45-54,Technology,1,Laptop,Search Engine,780.4927,Bank Transfer,Yes,0.3,No,Corporate,7,4337,Bronze,Ohio
AE-90457,Male,55-64,Furniture,15,Laptop,Social Media,799.0952,PayPal,Yes,0.2,Yes,Consumer,3,572,Gold,Florida
AE-92718,Female,35-44,Furniture,12,Desktop,Social Media,1531.4952,Debit Card,Yes,0.8,Yes,Consumer,6,1647,Silver,New York
AE-96815,Female,18-24,Technology,17,Laptop,Direct,1314.5154,PayPal,Yes,0.2,Yes,Consumer,7,589,Gold,Alabama
AE-98526,Female,55-64,Furniture,17,Desktop,Direct,805.48,Credit Card,Yes,0.5,No,Consumer,4,766,Gold,Texas
AF-00185,Female,65+,Furniture,12,Desktop,Email,1147.989,Credit Card,Yes,0.8,Yes,Home Office,6,2284,Silver,New York
AF-05532,Female,65+,Home Supplies,17,Desktop,Email,1934.872,Credit Card,Yes,0.7,Yes,Consumer,8,703,Gold,Ohio
AF-06367,Female,18-24,Technology,11,Desktop,Search Engine,1255.9712,Debit Card,Yes,0.1,Yes,Consumer,9,1791,Gold,Texas
AF-10990,Male,18-24,Technology,16,Mobile,Email,1070.1406,Credit Card,Yes,0.2,Yes,Corporate,10,4516,Silver,Alabama
AF-11803,Female,55-64,Home Supplies,10,Desktop,Search Engine,708.4981,PayPal,Yes,0.7,Yes,Home Office,4,2714,Silver,Alabama
AF-16679,Female,18-24,Furniture,3,Desktop,Email,888.164,Credit Card,Yes,0.3,No,Corporate,7,3293,Bronze,New York
AF-17612,Female,65+,Technology,10,Mobile,Direct,646.2919,Debit Card,No,0,No,Home Office,8,1864,Silver,Florida
AF-20846,Male,45-54,Furniture,14,Laptop,Social Media,1199.044,Bank Transfer,Yes,0.3,Yes,Home Office,2,2163,Bronze,Florida
AF-24773,Male,55-64,Furniture,15,Desktop,Search Engine,766.4157,PayPal,Yes,0.3,No,Consumer,4,657,Silver,California
AF-29773,Male,25-34,Technology,1,Mobile,Email,167.4806,Credit Card,Yes,0.1,No,Consumer,9,441,Silver,Ohio
AF-33388,Male,65+,Technology,16,Desktop,Search Engine,1491.4936,Debit Card,No,0,No,Consumer,9,844,Bronze,Texas
AF-35099,Male,35-44,Technology,11,Mobile,Social Media,500.6032,Credit Card,Yes,0.7,Yes,Corporate,7,3119,Gold,Florida
AF-35557,Male,65+,Furniture,11,Desktop,Direct,1002.5808,Bank Transfer,Yes,0.7,Yes,Corporate,10,4580,Gold,Alabama
AF-38679,Male,55-64,Home Supplies,14,Laptop,Social Media,1323.2456,Credit Card,Yes,0.1,No,Corporate,10,4073,Gold,Florida
AF-40993,Female,45-54,Furniture,3,Mobile,Search Engine,945.9789,Debit Card,Yes,0.1,No,Home Office,10,1831,Platinum,Ohio
AF-64363,Male,45-54,Home Supplies,6,Desktop,Direct,1565.9988,Credit Card,No,0,No,Home Office,6,1523,Silver,California
AF-65198,Male,18-24,Furniture,6,Mobile,Search Engine,336.417,Debit Card,Yes,0.7,No,Consumer,8,1468,Bronze,California
AF-68060,Female,55-64,Home Supplies,15,Mobile,Search Engine,335.964,Bank Transfer,Yes,0.3,No,Home Office,8,2120,Gold,Florida
AF-76002,Male,45-54,Home Supplies,19,Laptop,Email,1263.824,Debit Card,Yes,0.2,Yes,Corporate,1,3384,Platinum,New York
AF-77453,Male,18-24,Technology,13,Desktop,Social Media,1727.3854,Credit Card,Yes,0.7,Yes,Corporate,2,4287,Gold,Ohio
AF-80169,Female,45-54,Furniture,9,Laptop,Email,873.1638,Credit Card,No,0,No,Consumer,5,1496,Platinum,Ohio
AF-83359,Female,35-44,Furniture,1,Tablet,Social Media,335.872,Bank Transfer,Yes,0.2,Yes,Corporate,5,3967,Bronze,Alabama
AF-83376,Female,35-44,Technology,1,Desktop,Social Media,678.6469,Debit Card,Yes,0.5,No,Corporate,5,4780,Bronze,Florida
AF-83430,Male,55-64,Furniture,18,Mobile,Social Media,655.164,PayPal,Yes,0.2,Yes,Corporate,9,3008,Bronze,California
AF-84860,Female,25-34,Furniture,4,Desktop,Email,726.3536,Credit Card,No,0,No,Corporate,6,3258,Platinum,California
AF-92224,Male,35-44,Technology,12,Tablet,Social Media,311.976,Debit Card,No,0,No,Consumer,9,844,Silver,Ohio
AF-94598,Female,65+,Home Supplies,12,Desktop,Search Engine,1636.5352,Debit Card,Yes,0.2,Yes,Corporate,3,3418,Gold,New York
AF-95065,Female,35-44,Technology,6,Desktop,Direct,1247.9913,PayPal,No,0,No,Home Office,6,2107,Platinum,New York
AG-05496,Male,35-44,Technology,10,Tablet,Direct,337.984,Bank Transfer,Yes,0.3,No,Corporate,7,3309,Gold,New York
AG-06710,Female,25-34,Home Supplies,6,Laptop,Search Engine,1371.2988,Credit Card,Yes,0.5,No,Home Office,2,2608,Platinum,Ohio
AG-15846,Male,35-44,Technology,9,Tablet,Search Engine,407.0664,Credit Card,Yes,0.1,No,Consumer,8,777,Bronze,Ohio
AG-16750,Female,35-44,Technology,6,Laptop,Search Engine,1066.7736,Debit Card,Yes,0.3,No,Consumer,3,1667,Gold,Florida
AG-20637,Male,18-24,Home Supplies,10,Desktop,Search Engine,629.6347,Credit Card,No,0,No,Corporate,4,3667,Silver,Florida
AG-23403,Female,55-64,Furniture,1,Tablet,Search Engine,118.7592,Debit Card,Yes,0.7,No,Consumer,6,1042,Platinum,Texas
AG-23921,Female,35-44,Home Supplies,19,Laptop,Search Engine,933.5312,Debit Card,No,0,Yes,Consumer,7,105,Silver,California
AG-30839,Female,65+,Technology,8,Desktop,Email,1344.0448,Credit Card,Yes,0.3,No,Corporate,7,4781,Silver,Texas
AG-38106,Female,45-54,Home Supplies,13,Mobile,Search Engine,398.5909,Debit Card,Yes,0.2,Yes,Consumer,1,690,Platinum,Ohio
AG-38505,Female,65+,Technology,16,Mobile,Social Media,761.592,Debit Card,No,0,No,Consumer,4,694,Silver,Alabama
